INFO   | jvm 1    | main    | 2017/10/27 14:05:22.800 | [32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<global>> spring config from extension (core) located in (global-core-spring.xml,core-cache.xml,global-servicelayer-spring.xml,global-core-jmx-spring.xml,global-statistics-spring.xml) took: (997.5 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:23.303 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:24.106 | [32mINFO  [localhost-startStop-1] [HybrisContextFactory] - Refreshing SpringContext (Global context) took: (1.216 s)
INFO   | jvm 1    | main    | 2017/10/27 14:05:24.106 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Initializing <<global>> Spring ApplicationContext took: (2.459 s)
INFO   | jvm 1    | main    | 2017/10/27 14:05:24.608 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.111 | [32mINFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion entityCacheRegion, eviction policy FIFO, size 100000
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.312 | [m[32mINFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion queryCacheRegion, eviction policy FIFO, size 20000
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.513 | [m[32mINFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion sessionCacheRegion, eviction policy LRU, size 50000
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Regioncache initialized with region count 6
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: typesystemCacheRegion, size: 0, types: [81, 82, 83, 84, 87], statistics: true, class: class de.hybris.platform.regioncache.region.impl.UnlimitedCacheRegion
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: entityCacheRegion, size: 100000, types: [__ALL_TYPES__, __NO_QUERY__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
